版本,METHOD总数,METHOD未命名,METHOD未命名率%,FIELD总数,FIELD未命名,FIELD未命名率%,CLASS总数,CLASS未命名,CLASS未命名率%
1.14,20712,8890,42.9,17177,6072,35.3,4680,57,1.2
1.14.1,20782,8877,42.7,17212,6064,35.2,4687,57,1.2
1.14.2,20815,8887,42.7,17218,6035,35.1,4688,57,1.2
1.14.3,20940,8938,42.7,17220,6062,35.2,4696,57,1.2
1.20.3,43440,17185,39.6,35024,11486,32.8,7782,20,0.3
1.20.4,43440,17181,39.6,35024,11486,32.8,7782,20,0.3
1.20.2,42040,16316,38.8,33666,10926,32.5,7531,20,0.3
1.20.1,40911,15542,38.0,32923,10582,32.1,7431,20,0.3
1.20,40906,15557,38.0,32920,10730,32.6,7431,20,0.3
1.19.4,39820,14836,37.3,32454,10513,32.4,7326,21,0.3
1.14.4,21982,8154,37.1,18196,6263,34.4,4976,85,1.7
1.19.3,38449,14196,36.9,31283,9939,31.8,7130,20,0.3
1.16,26437,9529,36.0,20931,6474,30.9,5463,21,0.4
1.16.2,26960,9687,35.9,21377,6775,31.7,5426,24,0.4
1.19.2,36886,13258,35.9,30486,9467,31.1,6854,20,0.3
1.15,23320,8354,35.8,18795,5979,31.8,5130,78,1.5
1.16.1,26437,9477,35.8,20931,6402,30.6,5463,19,0.3
1.16.3,26961,9561,35.5,21378,6676,31.2,5426,23,0.4
1.16.4,27094,9626,35.5,21480,6704,31.2,5445,23,0.4
1.15.1,23319,8178,35.1,18795,5870,31.2,5130,78,1.5
1.15.2,23374,8177,35.0,18825,5857,31.1,5136,78,1.5
1.16.5,27094,9495,35.0,21480,6538,30.4,5445,15,0.3
1.21.11,49730,16880,33.9,45248,16151,35.7,10274,47,0.5
1.21.10,48591,16438,33.8,44095,15555,35.3,9953,46,0.5
1.21.9,48589,16436,33.8,44095,15557,35.3,9953,46,0.5
1.21.6,46587,15704,33.7,42406,14762,34.8,9467,45,0.5
1.21.7,46589,15704,33.7,42411,14764,34.8,9468,45,0.5
1.21.8,46592,15707,33.7,42418,14771,34.8,9469,46,0.5
1.21.5,45444,15274,33.6,41184,14200,34.5,9131,43,0.5
1.21.4,44336,14707,33.2,39883,13895,34.8,8850,21,0.2
1.21.2,43810,14487,33.1,39464,13696,34.7,8718,19,0.2
1.21.3,43811,14488,33.1,39464,13696,34.7,8719,19,0.2
1.21.1,41282,13108,31.8,37682,12867,34.1,8262,19,0.2
1.21,41272,13119,31.8,37682,12886,34.2,8262,19,0.2
1.20.5,40435,12743,31.5,37059,12491,33.7,8198,20,0.2
1.20.6,40437,12744,31.5,37060,12492,33.7,8199,20,0.2
1.19,31554,8504,27.0,30038,9579,31.9,6727,19,0.3
1.19.1,32138,8540,26.6,30481,9643,31.6,6850,17,0.2
1.17,27960,7392,26.4,27532,9260,33.6,6107,23,0.4
1.18.2,29716,7839,26.4,28654,8934,31.2,6391,17,0.3
1.18.1,29250,7534,25.8,28166,8548,30.3,6280,17,0.3
1.18,29249,7533,25.8,28164,8548,30.4,6280,17,0.3
1.17.1,28016,7195,25.7,27553,8758,31.8,6107,15,0.2
TOTAL(43版本),1497507,511977,34.2,1305534,433953,33.2,302723,1413,0.5
